All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,114.029407630804,Yes,Yes,0,0
47,47,106.056076599398,Yes,Yes,0,0
47,47,78.323262169046,Yes,Yes,0,0
47,47,162.285981486337,Yes,No,0,0
47,47,90,Yes,Yes,0,0
47,47,159.504940153355,Yes,Yes,0,0
48.9,48.9,175.863909781741,Yes,No,0,0
47,47,87.2196080556503,Yes,Yes,0,0
48.9,48.9,173.884496433715,Yes,No,0,0
45,45,43.6638975291062,Yes,Yes,0,0
45,45,51.6107473570439,Yes,Yes,0,0
47,47,75.6186054089094,Yes,Yes,0,0
2,47.7,172.694240466689,Yes,No,45,47.7
1,45,35.4539936555025,No,Yes,45,47.3
1,45.1,59.9475522888102,No Response,Yes,45.1,47.3
1,45.1,56.0113252517985,Yes,Yes,45.1,47.3
2,47.3,63.3748273554674,Yes,Yes,45.1,47.3
2,47.4,92.2715018961023,Yes,Yes,45.1,47.4
1,45.1,40.2211119606414,No,Yes,45.1,47.5
2,47.5,160.120211742314,Yes,No,45.7,47.5
2,47.4,96.8277443547839,Yes,Yes,45.7,47.4
2,47.4,164.744881296942,Yes,Yes,45.7,47.4
1,45.7,18.9531135803631,No,Yes,45.7,47.4
1,46.4,64.0866824236799,Yes,Yes,46.4,47.4
